# TGList_NXDN.txt downloaded from http://www.pistar.uk/downloads/TGList_NXDN.txt
# sourced from https://raw.githubusercontent.com/g4klx/NXDNClients/master/NXDNGateway/NXDNHosts.txt
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File updated on Thursday 19th of January 2023
#
# Dest ID;Name;Description
#
50525;NX-DMR-TG50525;NX-DMR-TG50525
50535;NX-REF-50535;NX-REF-50535
50599;NX-REF-50599;NX-REF-50599
52000;NX-REF-52000;NX-REF-52000
52032;NX-REF-52032;NX-REF-52032
52149;NX-REF-52149;NX-REF-52149
52910;NX-REF-52910;NX-REF-52910
53099;NX-DMR-TG53099;NX-DMR-TG53099
56987;NX-REF-56987;NX-REF-56987
63600;NX-REF-63600;NX-REF-63600
64003;NX-REF-64003;NX-REF-64003
65000;NX-WORLDWIDE;NX-WORLDWIDE
65100;NX-REF-65100;NX-REF-65100
65206;NX-REF-65206;NX-REF-65206
65208;NX-65208-FRANCE;NX-65208-FRANCE
65209;NX-REF-65209;NX-REF-65209
